"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,,,,,,,,,,,,,
"Liljedahl, A. (year of retrieval). Climate data from the Goldstream Creek Watershed study of Methane Release from Thermokarst Lakes. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,,,,,,,,,,,,,
"URL: http://ine.uaf.edu/werc/werc-projects/goldstream/ Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,,,,,,,,,,,,,
see readme-20200623.txt file for metadata,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GSM1 Doughnut Lake Met  2015-2019 Last Updated EKY  15Jan2019,,,,,,,,,,,,,,,,,
Meteorological Data,,,,,,,,,,,,,,,,,
Lat:64.889,,,,,,,,,,,,,,,,,
Long:-147.908,,,,,,,,,,,,,,,,,
Elev:175 m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Col.  Data Type  Units,,,,,,,,,,,,,,,,,
1. Date Time (Alaska Standard Time),,,,,,,,,,,,,,,,,
2. 2 m Air Temperature (deg C),,,,,,,,,,,,,,,,,
3. 2 m Relative Humidity (%),,,,,,,,,,,,,,,,,
4. 3 m Wind Speed  (m/s),,,,,,,,,,,,,,,,,
5. 3 m Wind Direction  (degrees),,,,,,,,,,,,,,,,,
6. 3 m Wind Speed Maximum  (degrees),,,,,,,,,,,,,,,,,
7. Station Pressure (mbar),,,,,,,,,,,,,,,,,
8. Rainfall  (mm),,,,,,,,,,,,,,,,,
9. Net Radiation (W/m2),,,,,,,,,,,,,,,,,
10. Snow Depth (cm),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/18/2018 17:00,5.749,27.34,7777,7777,7777,983,7777,7777,31.78,,,,,,,,
4/18/2018 18:00,4.677,31.44,7777,7777,7777,982,7777,7777,31.49,,,,,,,,
4/18/2018 19:00,3.023,34.11,7777,7777,7777,982,7777,7777,31.23,,,,,,,,
4/18/2018 20:00,1.141,37.95,7777,7777,7777,982,7777,7777,30.98,,,,,,,,
4/18/2018 21:00,-0.951,38.71,7777,7777,7777,982,7777,7777,30.82,,,,,,,,
4/18/2018 22:00,-1.993,39.34,7777,7777,7777,982,7777,7777,30.59,,,,,,,,
4/18/2018 23:00,-2.841,42.35,7777,7777,7777,982,7777,7777,30.57,,,,,,,,
4/19/2018 0:00,-3.672,47.62,7777,7777,7777,982,7777,7777,30.51,,,,,,,,
4/19/2018 1:00,-4.33,42.02,7777,7777,7777,982,7777,7777,30.62,,,,,,,,
4/19/2018 2:00,-4.585,44.14,7777,7777,7777,981,7777,7777,30.46,,,,,,,,
4/19/2018 3:00,-5.849,53.44,7777,7777,7777,981,7777,7777,30.53,,,,,,,,
4/19/2018 4:00,-6.65,55.98,7777,7777,7777,981,7777,7777,30.54,,,,,,,,
4/19/2018 5:00,-7.523,54.55,7777,7777,7777,981,7777,7777,30.54,,,,,,,,
4/19/2018 6:00,-7.935,55.31,7777,7777,7777,981,7777,7777,30.57,,,,,,,,
4/19/2018 7:00,-6.893,51.47,7777,7777,7777,980,7777,7777,30.54,,,,,,,,
4/19/2018 8:00,-4.253,36.22,7777,7777,7777,980,7777,7777,30.66,,,,,,,,
4/19/2018 9:00,-1.475,28.96,7777,7777,7777,979,7777,7777,30.49,,,,,,,,
4/19/2018 10:00,-0.074,25.26,7777,7777,7777,979,7777,7777,30.5,,,,,,,,
4/19/2018 11:00,1.518,23.27,7777,7777,7777,978,7777,7777,30.8,,,,,,,,
4/19/2018 12:00,3.59,21.48,7777,7777,7777,978,7777,7777,30.83,,,,,,,,
4/19/2018 13:00,4.107,20.84,7777,7777,7777,978,7777,7777,31.12,,,,,,,,
4/19/2018 14:00,3.958,22.47,7777,7777,7777,977,7777,7777,31.12,,,,,,,,
4/19/2018 15:00,3.296,26.78,7777,7777,7777,977,7777,7777,31.36,,,,,,,,
4/19/2018 16:00,2.463,31.02,7777,7777,7777,976,7777,7777,31.5,,,,,,,,
4/19/2018 17:00,1.789,25.44,7777,7777,7777,976,7777,7777,31.63,,,,,,,,
4/19/2018 18:00,0.977,30.77,7777,7777,7777,975,7777,7777,32.44,,,,,,,,
4/19/2018 19:00,-0.681,35.97,7777,7777,7777,975,7777,7777,32.53,,,,,,,,
4/19/2018 20:00,-2.283,38.1,7777,7777,7777,975,7777,7777,32.49,,,,,,,,
4/19/2018 21:00,-3.477,35.38,7777,7777,7777,975,7777,7777,32.47,,,,,,,,
4/19/2018 22:00,-4.525,37.44,7777,7777,7777,976,7777,7777,32.44,,,,,,,,
4/19/2018 23:00,-5.21,41.95,7777,7777,7777,976,7777,7777,32.46,,,,,,,,
4/20/2018 0:00,-5.472,44.21,7777,7777,7777,976,7777,7777,32.51,,,,,,,,
4/20/2018 1:00,-5.631,46.12,7777,7777,7777,976,7777,7777,32.46,,,,,,,,
4/20/2018 2:00,-5.66,49.47,7777,7777,7777,976,7777,7777,32.38,,,,,,,,
4/20/2018 3:00,-6.033,46.13,7777,7777,7777,976,7777,7777,32.45,,,,,,,,
4/20/2018 4:00,-6.217,49.69,7777,7777,7777,977,7777,7777,32.49,,,,,,,,
4/20/2018 5:00,-6.19,49.42,7777,7777,7777,977,7777,7777,32.57,,,,,,,,
4/20/2018 6:00,-6.152,44.77,7777,7777,7777,978,7777,7777,32.57,,,,,,,,
4/20/2018 7:00,-5.334,41.27,7777,7777,7777,978,7777,7777,32.34,,,,,,,,
4/20/2018 8:00,-4.674,41.06,7777,7777,7777,978,7777,7777,32.3,,,,,,,,
4/20/2018 9:00,-4.429,40.23,7777,7777,7777,979,7777,7777,32.06,,,,,,,,
4/20/2018 10:00,-3.771,38.99,7777,7777,7777,979,7777,7777,31.63,,,,,,,,
4/20/2018 11:00,-2.887,36.32,7777,7777,7777,980,7777,7777,30.34,,,,,,,,
4/20/2018 12:00,-1.605,37.73,7777,7777,7777,980,7777,7777,29.35,,,,,,,,
4/20/2018 13:00,-1.094,36.15,7777,7777,7777,981,7777,7777,29.06,,,,,,,,
4/20/2018 14:00,-0.991,37.78,7777,7777,7777,981,7777,7777,29.19,,,,,,,,
4/20/2018 15:00,-1.509,40.18,7777,7777,7777,981,7777,7777,29.82,,,,,,,,
4/20/2018 16:00,-2.254,40.75,7777,7777,7777,982,7777,7777,30.36,,,,,,,,
4/20/2018 17:00,-3.469,46.83,7777,7777,7777,982,7777,7777,30.69,,,,,,,,
4/20/2018 18:00,-5.12,64.34,7777,7777,7777,982,7777,7777,31.04,,,,,,,,
4/20/2018 19:00,-6.287,73.58,7777,7777,7777,983,7777,7777,31.26,,,,,,,,
4/20/2018 20:00,-7.127,76.32,7777,7777,7777,983,7777,7777,29.74,,,,,,,,
4/20/2018 21:00,-7.848,75.12,7777,7777,7777,984,7777,7777,29.46,,,,,,,,
4/20/2018 22:00,-8.01,75.53,7777,7777,7777,984,7777,7777,29.12,,,,,,,,
4/20/2018 23:00,-8.17,74.16,7777,7777,7777,984,7777,7777,29.59,,,,,,,,
4/21/2018 0:00,-8.17,74.16,7777,7777,7777,985,7777,7777,31.48,,,,,,,,
4/21/2018 1:00,-8.3,72.66,7777,7777,7777,985,7777,7777,32.4,,,,,,,,
4/21/2018 2:00,-8.67,70.01,7777,7777,7777,985,7777,7777,32.4,,,,,,,,
4/21/2018 3:00,-9.03,69.53,7777,7777,7777,986,7777,7777,32.41,,,,,,,,
4/21/2018 4:00,-8.56,66.38,7777,7777,7777,986,7777,7777,32.31,,,,,,,,
4/21/2018 5:00,-7.893,64.59,7777,7777,7777,986,7777,7777,32.02,,,,,,,,
4/21/2018 6:00,-7.635,63.23,7777,7777,7777,986,7777,7777,31.28,,,,,,,,
4/21/2018 7:00,-7.129,60.22,7777,7777,7777,987,7777,7777,33.2,,,,,,,,
4/21/2018 8:00,-6.335,55.76,7777,7777,7777,987,7777,7777,33.28,,,,,,,,
4/21/2018 9:00,-4.613,50.89,7777,7777,7777,987,7777,7777,32.73,,,,,,,,
4/21/2018 10:00,-2.965,46.5,7777,7777,7777,988,7777,7777,32.7,,,,,,,,
4/21/2018 11:00,-0.873,44.03,7777,7777,7777,988,7777,7777,32.57,,,,,,,,
4/21/2018 12:00,1.372,37.24,7777,7777,7777,989,7777,7777,31.82,,,,,,,,
