Date	Time (AST)	Discharge (cms)
05/04/15	21:17	3.80
05/04/15	21:32	3.68
05/04/15	21:47	3.71
05/04/15	22:02	3.73
05/04/15	22:17	3.66
05/04/15	22:32	3.57
05/04/15	22:47	3.41
05/04/15	23:02	3.48
05/04/15	23:17	3.36
05/04/15	23:32	3.20
05/04/15	23:47	3.24
05/05/15	0:02	3.10
05/05/15	0:17	2.94
05/05/15	0:32	2.99
05/05/15	0:47	2.80
05/05/15	1:02	2.66
05/05/15	1:17	2.61
05/05/15	1:32	2.54
05/05/15	1:47	2.50
05/05/15	2:02	2.45
05/05/15	2:17	2.33
05/05/15	2:32	2.24
05/05/15	2:47	2.10
05/05/15	3:02	2.03
05/05/15	3:17	1.94
05/05/15	3:32	1.94
05/05/15	3:47	1.82
05/05/15	4:02	1.75
05/05/15	4:17	1.63
05/05/15	4:32	1.59
05/05/15	4:47	1.52
05/05/15	5:02	1.42
05/05/15	5:17	1.49
05/05/15	5:32	1.49
05/05/15	5:47	1.31
05/05/15	6:02	1.21
05/05/15	6:17	1.17
05/05/15	6:32	1.19
05/05/15	6:47	1.21
05/05/15	7:02	1.14
05/05/15	7:17	1.24
05/05/15	7:32	1.26
05/05/15	7:47	1.28
05/05/15	8:02	1.38
05/05/15	8:17	1.52
05/05/15	8:32	1.52
05/05/15	8:47	1.68
05/05/15	9:02	1.80
05/05/15	9:17	1.89
05/05/15	9:32	2.05
05/05/15	9:47	2.26
05/05/15	10:02	2.29
05/05/15	10:17	2.50
05/05/15	10:32	2.61
05/05/15	10:47	2.59
05/05/15	11:02	2.78
05/05/15	11:17	2.80
05/05/15	11:32	3.01
05/05/15	11:47	2.99
05/05/15	12:02	3.01
05/05/15	12:17	2.99
05/05/15	12:32	3.10
05/05/15	12:47	3.15
05/05/15	13:02	3.22
05/05/15	13:17	3.27
05/05/15	13:32	3.38
05/05/15	13:47	3.50
05/05/15	14:02	3.52
05/05/15	14:17	3.66
05/05/15	14:32	3.75
05/05/15	14:47	3.82
05/05/15	15:02	3.78
05/05/15	15:17	3.73
05/05/15	15:32	3.73
05/05/15	15:47	3.59
05/05/15	16:02	3.68
05/05/15	16:17	3.52
05/05/15	16:32	3.48
05/05/15	16:47	3.41
05/05/15	17:02	3.43
05/05/15	17:17	3.36
05/05/15	17:32	3.29
05/05/15	17:47	3.22
05/05/15	18:02	3.20
05/05/15	18:17	3.31
05/05/15	18:32	3.36
05/05/15	18:47	3.29
05/05/15	19:02	3.24
05/05/15	19:17	3.24
05/05/15	19:32	3.01
05/05/15	19:47	3.20
05/05/15	20:02	3.22
05/05/15	20:17	3.03
05/05/15	20:32	3.20
05/05/15	20:47	3.17
05/05/15	21:02	3.13
05/05/15	21:17	3.22
05/05/15	21:32	3.27
05/05/15	21:47	3.24
05/05/15	22:02	3.17
05/05/15	22:17	3.10
05/05/15	22:32	3.20
05/05/15	22:47	3.17
05/05/15	23:02	3.03
05/05/15	23:17	3.10
05/05/15	23:32	3.06
05/05/15	23:47	3.01
05/06/15	0:02	2.94
05/06/15	0:17	2.82
05/06/15	0:32	2.87
05/06/15	0:47	2.82
05/06/15	1:02	2.73
05/06/15	1:17	2.59
05/06/15	1:32	2.59
05/06/15	1:47	2.68
05/06/15	2:02	2.64
05/06/15	2:17	2.66
05/06/15	2:32	2.54
05/06/15	2:47	2.52
05/06/15	3:02	2.57
05/06/15	3:17	2.54
05/06/15	3:32	2.47
05/06/15	3:47	2.33
05/06/15	4:02	2.33
05/06/15	4:17	2.17
05/06/15	4:32	2.19
05/06/15	4:47	2.03
05/06/15	5:02	2.05
05/06/15	5:17	2.01
05/06/15	5:32	1.98
05/06/15	5:47	1.82
05/06/15	6:02	1.68
05/06/15	6:17	1.68
05/06/15	6:32	1.61
05/06/15	6:47	1.56
05/06/15	7:02	1.52
05/06/15	7:17	1.56
05/06/15	7:32	1.66
05/06/15	7:47	1.82
05/06/15	8:02	1.82
05/06/15	8:17	1.89
05/06/15	8:32	1.98
05/06/15	8:47	2.08
05/06/15	9:02	2.26
05/06/15	9:17	2.40
05/06/15	9:32	2.38
05/06/15	9:47	2.59
05/06/15	10:02	2.66
05/06/15	10:17	2.71
05/06/15	10:32	2.82
05/06/15	10:47	2.87
05/06/15	11:02	2.80
05/06/15	11:17	2.87
05/06/15	11:32	3.01
05/06/15	11:47	2.92
05/06/15	12:02	2.92
05/06/15	12:17	3.10
05/06/15	12:32	3.15
05/06/15	12:47	3.17
05/06/15	13:02	3.22
05/06/15	13:17	3.36
05/06/15	13:32	3.31
05/06/15	13:47	3.36
05/06/15	14:02	3.52
05/06/15	14:17	3.45
05/06/15	14:32	3.48
05/06/15	14:47	3.27
05/06/15	15:02	3.24
05/06/15	15:17	3.27
05/06/15	15:32	3.27
05/06/15	15:47	3.15
05/06/15	16:02	3.24
05/06/15	16:17	3.13
05/06/15	16:32	3.08
05/06/15	16:47	3.06
05/06/15	17:02	3.03
05/06/15	17:17	2.94
05/06/15	17:32	3.06
05/06/15	17:47	2.99
05/06/15	18:02	2.99
05/06/15	18:17	2.94
05/06/15	18:32	2.89
05/06/15	18:47	3.01
05/06/15	19:02	2.96
05/06/15	19:17	2.99
05/06/15	19:32	2.99
05/06/15	19:47	3.03
05/06/15	20:02	3.13
05/06/15	20:17	3.13
05/06/15	20:32	3.20
05/06/15	20:47	3.34
05/06/15	21:02	3.29
05/06/15	21:17	3.27
05/06/15	21:32	3.54
05/06/15	21:47	3.45
05/06/15	22:02	3.64
05/06/15	22:17	3.57
05/06/15	22:32	3.43
05/06/15	22:47	3.45
05/06/15	23:02	3.54
05/06/15	23:17	3.59
05/06/15	23:32	3.57
