Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,totalPPT_mm.hr,sampleSnowDepth_m,sampleWD_Deg,sampleWS_m.s,maxWS_m.s,avgSolarRad_W.m2
2015-01-10,00:00:00,0.34,0.71,76.2,72.91,-3.41,0,0.035,351.6,0.6,2.73,6999
2015-01-10,01:00:00,0.16,0.79,79.28,75.68,-3.29,0,0.034,81.1,7.39,7.39,6999
2015-01-10,02:00:00,0.04,0.3,82.23,79.89,-2.75,0,0.033,83.9,4.99,7.92,6999
2015-01-10,03:00:00,-0.26,0.12,82.01,79.49,-3.02,0,0.037,57.35,2.16,5.18,6999
2015-01-10,04:00:00,-0.66,-0.06,80.91,77.36,-3.69,0,0.036,342.9,0.78,2.71,6999
2015-01-10,05:00:00,-0.54,-0.07,79.44,76.32,-3.69,0,0.037,348.4,1.03,2.13,6999
2015-01-10,06:00:00,-0.15,0.27,80.42,77.4,-3.45,0,0.036,42.8,2.44,2.95,6999
2015-01-10,07:00:00,-1.11,-0.46,84.3,80.93,-3.5,7777,0.035,200.7,0.62,2.26,6999
2015-01-10,08:00:00,-0.55,-0.27,82.62,80.39,-3.11,0,0.035,94.5,0.16,0.96,6999
2015-01-10,09:00:00,-0.89,-0.75,84.75,83.29,-3.03,0,0.036,60.78,2.45,2.64,6999
2015-01-10,10:00:00,-1,-0.88,87.25,85.6,-2.78,7777,0.035,69.02,2.32,3.7,6999
2015-01-10,11:00:00,-1.25,-1.02,87.9,85.85,-3,7777,0.035,56.92,0,2.95,6999
2015-01-10,12:00:00,-0.85,-0.59,85.55,82.86,-2.9,0,0.038,59.19,2.65,2.65,6999
2015-01-10,13:00:00,-0.76,-0.69,84.85,83.55,-2.98,0,0.035,314.5,0.35,2.87,6999
2015-01-10,14:00:00,-0.88,-0.75,90.25,88.4,-2.16,0,0.038,345,0.59,1.32,6999
2015-01-10,15:00:00,-1.03,-0.92,94.45,92.7,-1.76,7777,0.035,45.69,0,0.8,6999
2015-01-10,16:00:00,-0.97,-0.83,94.85,93.5,-1.69,0,0.035,338.9,0,1.45,6999
2015-01-10,17:00:00,-0.93,-0.74,94.4,93.05,-1.71,0,0.033,13.59,0,0,6999
2015-01-10,18:00:00,-1.31,-1.16,95.3,93.55,-1.95,7777,0.039,174.7,0,1.12,6999
2015-01-10,19:00:00,-1.47,-1.33,96.35,94.55,-1.98,7777,0.052,85.9,0,1.54,6999
2015-01-10,20:00:00,-1.37,-1.26,96.55,94.95,-1.86,7777,0.013,276.5,0,1.29,6999
2015-01-10,21:00:00,-1.3,-1.18,96.65,95.15,-1.76,7777,0.015,19.57,0,1.24,6999
2015-01-10,22:00:00,-1.36,-1.19,96.7,95.3,-1.82,7777,0.013,295.8,0,0.72,6999
2015-01-10,23:00:00,-1.52,-1.35,96.6,95.25,-2,7777,0.012,88.6,0.54,0.67,6999
2015-01-11,00:00:00,-1.55,-1.37,96.55,95.3,-2.03,7777,0.011,65.31,1.33,1.56,6999
2015-01-11,01:00:00,-1.45,-1.34,96.35,95.25,-1.96,7777,0.044,340.6,0,1.95,6999
2015-01-11,02:00:00,-1.56,-1.4,96.15,95.2,-2.1,7777,0.048,338.5,1.18,1.36,6999
2015-01-11,03:00:00,-1.45,-1.31,96.2,95.25,-1.98,7777,0.044,-4.15,0.59,1.65,6999
2015-01-11,04:00:00,-1.47,-1.3,96.15,95.3,-2,7777,0.038,352.6,0.8,1.55,6999
2015-01-11,05:00:00,-1.05,-0.97,96,95.3,-1.61,7777,0.05,325,1.3,1.78,6999
2015-01-11,06:00:00,-0.84,-0.79,95.7,95.5,-1.47,0,0.044,310,0,1.26,6999
2015-01-11,07:00:00,-0.2,-0.51,88.2,95.55,-1.71,0,0.039,354.5,0.89,1.06,6999
2015-01-11,08:00:00,-0.14,-0.13,85.05,88.55,-2.41,0,0.048,91.8,2.71,3.39,6999
2015-01-11,09:00:00,-1,-0.58,86.6,84.1,-2.86,0,0.042,336.4,0.32,2.88,6999
2015-01-11,10:00:00,-1.14,-0.77,88.3,85.95,-2.86,7777,0.046,317.9,0.89,0.9,6999
2015-01-11,11:00:00,-1.13,-0.74,88.65,85.05,-2.98,7777,0.052,52.49,1.32,1.32,6999
2015-01-11,12:00:00,-1.15,-0.92,89.85,87.65,-2.61,7777,0.044,334.7,0.67,1.39,6999
2015-01-11,13:00:00,-1.33,-1.12,91.25,90.1,-2.57,7777,0.036,2.65,0.33,1.41,6999
2015-01-11,14:00:00,-1.14,-0.91,90.15,88.5,-2.53,7777,0.041,335.1,0.45,1.42,6999
2015-01-11,15:00:00,-1.26,-0.98,91.05,89.35,-2.56,7777,0.049,354.4,0.74,1.35,6999
